city_id	jobs	households	population	res_units	non_res_sqft	land_value	buildings	occupied_res_units	sf_res_units	sqft
49.0	18393.0	43742.0	121615.0	46769.0	4816854.0	5250538978.0	44381.0	43742.0	44175.0	47483320607.0
94.0	24610.0	13996.0	33959.0	15104.0	18766692.0	1269344783.0	9254.0	13996.0	8335.0	180179724.0
95.0	81516.0	40735.0	96490.0	45694.0	48804805.0	2814883090.0	26835.0	40735.0	22855.0	814066615.0
96.0	489.0	2276.0	6543.0	2446.0	81946.0	205090447.0	2332.0	2276.0	2330.0	53854610.0
97.0	105.0	762.0	2065.0	1071.0	39227.0	48298955.0	605.0	762.0	592.0	15102767.0
98.0	13157.0	16315.0	38639.0	18441.0	9406541.0	1718004346.0	13567.0	16315.0	12318.0	209130684.0
99.0	153.0	958.0	2778.0	1084.0	91318.0	82113374.0	916.0	958.0	895.0	20413507.0
100.0	5296.0	7130.0	17939.0	7681.0	3741577.0	523691887.0	4744.0	7130.0	4656.0	111767729.0
101.0	6967.0	8078.0	19671.0	8667.0	4994383.0	587154268.0	5862.0	8078.0	5491.0	87671803.0
102.0	4444.0	9465.0	23913.0	10242.0	4818228.0	517735793.0	5271.0	9465.0	4807.0	1290693844.0
103.0	4262.0	12883.0	36331.0	13925.0	3429884.0	893119101.0	10876.0	12883.0	10635.0	222869094.0
104.0	1864.0	1409.0	3960.0	1501.0	751649.0	112856622.0	1272.0	1409.0	1258.0	24097044.0
105.0	2078.0	7804.0	21451.0	8689.0	2194030.0	584902271.0	6602.0	7804.0	6472.0	124084471.0
106.0	12977.0	21187.0	58414.0	23981.0	9453382.0	1291944015.0	19043.0	21187.0	17977.0	539172400.0
107.0	896.0	3704.0	9140.0	4237.0	1088589.0	147190586.0	2007.0	3704.0	1865.0	34711065.0
108.0	4309.0	4464.0	12517.0	4876.0	2379813.0	363433826.0	3875.0	4464.0	3601.0	107151373.0
109.0	5828.0	14853.0	39398.0	16745.0	6746198.0	737918644.0	10056.0	14853.0	9163.0	189342699.0
110.0	8232.0	4836.0	13585.0	5239.0	6425982.0	459655922.0	4464.0	4836.0	4097.0	153359844.0
111.0	8549.0	6502.0	17311.0	7034.0	8053140.0	547437057.0	6032.0	6502.0	5286.0	251151181.0
112.0	4984.0	3622.0	8871.0	4084.0	4015813.0	296394857.0	3400.0	3622.0	2973.0	92198014.0
113.0	4783.0	9488.0	27106.0	10345.0	2746301.0	549174433.0	8898.0	9488.0	8527.0	195491773.0
114.0	908.0	1545.0	4397.0	1657.0	913566.0	112303256.0	1675.0	1545.0	1617.0	74709647.0
115.0	132.0	450.0	1277.0	495.0	6295.0	149312718.0	491.0	450.0	489.0	30253873.0
116.0	416.0	551.0	1311.0	591.0	516054.0	22879131.0	657.0	551.0	651.0	44208311.0
117.0	16.0	330.0	856.0	353.0	13377.0	15110523.0	353.0	330.0	353.0	5113917.0
118.0	361.0	1620.0	4025.0	1920.0	476263.0	119066887.0	1385.0	1620.0	1302.0	16491074.0
119.0	6.0	34.0	73.0	62.0	0.0	712861.0	21.0	34.0	9.0	155510.0
