"city_id","lat","lon","latlon"
98,47.8104073293833,-122.353831318417,"47.8104073293833:-122.353831318417"
94,47.8308086042083,-122.30546725966,"47.8308086042083:-122.30546725966"
99,47.8591922386957,-122.31213568236,"47.8591922386957:-122.31213568236"
95,47.9520132897524,-122.217047578173,"47.9520132897524:-122.217047578173"
100,47.8631076288332,-122.200292405803,"47.8631076288332:-122.200292405803"
101,47.7919127981051,-122.304121192946,"47.7919127981051:-122.304121192946"
102,47.8388352279619,-122.275091853897,"47.8388352279619:-122.275091853897"
103,47.8458189657406,-122.209564751902,"47.8458189657406:-122.209564751902"
104,47.8420516091454,-122.251547882888,"47.8420516091454:-122.251547882888"
105,47.8063851292063,-122.226700174878,"47.8063851292063:-122.226700174878"
139,47.7918193241979,-122.218636243215,"47.7918193241979:-122.218636243215"
106,48.0754922024151,-122.15395914279,"48.0754922024151:-122.15395914279"
107,47.8708653386593,-122.258380163905,"47.8708653386593:-122.258380163905"
108,47.8754451256513,-122.298067270704,"47.8754451256513:-122.298067270704"
109,47.8949043351056,-122.195999827719,"47.8949043351056:-122.195999827719"
110,47.8596152649443,-121.987947254181,"47.8596152649443:-121.987947254181"
111,48.1711675198281,-122.143817817841,"48.1711675198281:-122.143817817841"
112,47.9235853883443,-122.092885812584,"47.9235853883443:-122.092885812584"
113,48.0042664985498,-122.094956907124,"48.0042664985498:-122.094956907124"
114,47.8682068043853,-121.808866206665,"47.8682068043853:-121.808866206665"
115,47.7873407023301,-122.383792736716,"47.7873407023301:-122.383792736716"
116,48.2521426235183,-121.604222565727,"48.2521426235183:-121.604222565727"
117,47.8547936907125,-121.67952596456,"47.8547936907125:-121.67952596456"
119,47.7961397788378,-122.295011437508,"47.7961397788378:-122.295011437508"
118,47.7935719543491,-122.34727190519,"47.7935719543491:-122.34727190519"
120,47.912076311928,-122.303989633158,"47.912076311928:-122.303989633158"
121,48.0884237665466,-122.147833345497,"48.0884237665466:-122.147833345497"
122,47.9861435699678,-122.075238883482,"47.9861435699678:-122.075238883482"
123,48.2447984366767,-122.345052800675,"48.2447984366767:-122.345052800675"
124,48.1787721070034,-122.137295352817,"48.1787721070034:-122.137295352817"
125,47.8773522215103,-121.98165774039,"47.8773522215103:-121.98165774039"
126,47.9384440869681,-122.102280456672,"47.9384440869681:-122.102280456672"
127,47.8683623100521,-122.149901133043,"47.8683623100521:-122.149901133043"
128,47.8562521939151,-121.693324668301,"47.8562521939151:-121.693324668301"
129,48.0839614586654,-121.970081517453,"48.0839614586654:-121.970081517453"
130,48.2570329800238,-122.351337587675,"48.2570329800238:-122.351337587675"
131,47.8210466386152,-121.55525471452,"47.8210466386152:-121.55525471452"
132,47.7979624809482,-122.126544140905,"47.7979624809482:-122.126544140905"
133,48.0793434998637,-121.967333756209,"48.0793434998637:-121.967333756209"
134,47.9063646001091,-122.274967261479,"47.9063646001091:-122.274967261479"
135,47.8814261284827,-121.819285823557,"47.8814261284827:-121.819285823557"
136,47.7827766861465,-122.391766641604,"47.7827766861465:-122.391766641604"
137,48.2487785832345,-121.604256688204,"48.2487785832345:-121.604256688204"
