"city_id","lat","lon","latlon"
7,47.3855924996445,-122.201915483048,"47.3855924996445:-122.201915483048"
3,47.4976940967999,-122.036853612934,"47.4976940967999:-122.036853612934"
2,47.3095896077538,-122.211852309999,"47.3095896077538:-122.211852309999"
1,47.4347045604532,-122.343142351859,"47.4347045604532:-122.343142351859"
6,47.4676158181259,-122.171649020713,"47.4676158181259:-122.171649020713"
8,47.4772969919889,-122.275081433017,"47.4772969919889:-122.275081433017"
12,47.4794661302396,-122.184166940574,"47.4794661302396:-122.184166940574"
11,47.5092522189327,-122.342212649007,"47.5092522189327:-122.342212649007"
9,47.6263699143062,-122.334193084353,"47.6263699143062:-122.334193084353"
10,47.3772096374617,-122.265663827898,"47.3772096374617:-122.265663827898"
13,47.5921336994526,-122.15134660852,"47.5921336994526:-122.15134660852"
14,47.7018078768058,-122.198847049077,"47.7018078768058:-122.198847049077"
15,47.6728442945433,-122.12311909447,"47.6728442945433:-122.12311909447"
16,47.3675682322338,-122.1021917124,"47.3675682322338:-122.1021917124"
17,47.2034116545721,-121.997634848911,"47.2034116545721:-121.997634848911"
18,47.3919286388046,-122.317465826229,"47.3919286388046:-122.317465826229"
19,47.5624985165309,-122.227524997192,"47.5624985165309:-122.227524997192"
4,47.4455005652144,-122.290610945546,"47.4455005652144:-122.290610945546"
20,47.3131860149654,-122.34353982812,"47.3131860149654:-122.34353982812"
22,47.5428965014452,-122.04278098521,"47.5428965014452:-122.04278098521"
23,47.4774432727881,-122.34001789065,"47.4774432727881:-122.34001789065"
21,47.6079927455327,-122.035910348101,"47.6079927455327:-122.035910348101"
24,47.617918227403,-122.00382103606,"47.617918227403:-122.00382103606"
5,47.7573325705415,-122.339324262543,"47.7573325705415:-122.339324262543"
25,47.3147391654673,-122.282538730362,"47.3147391654673:-122.282538730362"
27,47.7356818771584,-121.971839865236,"47.7356818771584:-121.971839865236"
26,47.7545830243109,-122.246158503115,"47.7545830243109:-122.246158503115"
28,47.7579019518275,-122.198367978109,"47.7579019518275:-122.198367978109"
140,47.164080010453,-121.98014998512,"47.164080010453:-121.98014998512"
29,47.152479565689,-122.425948534946,"47.152479565689:-122.425948534946"
30,47.7569796613655,-122.151350938848,"47.7569796613655:-122.151350938848"
31,47.2820277382154,-122.25225364352,"47.2820277382154:-122.25225364352"
32,47.4824558593437,-121.767625109209,"47.4824558593437:-121.767625109209"
33,47.7602249906158,-122.287965984538,"47.7602249906158:-122.287965984538"
34,47.717874337381,-122.110874772863,"47.717874337381:-122.110874772863"
35,47.322292698044,-122.020753913858,"47.322292698044:-122.020753913858"
36,47.5160064717621,-122.139666231835,"47.5160064717621:-122.139666231835"
37,47.5321423198189,-121.852965298073,"47.5321423198189:-121.852965298073"
38,47.6958320349273,-122.031226349309,"47.6958320349273:-122.031226349309"
39,47.2648214995037,-122.248176950706,"47.2648214995037:-122.248176950706"
40,47.4232806247962,-122.278776325199,"47.4232806247962:-122.278776325199"
41,47.6302097681492,-122.218186553333,"47.6302097681492:-122.218186553333"
42,47.3648984474314,-122.036502246184,"47.3648984474314:-122.036502246184"
43,47.5306789806854,-122.168829804682,"47.5306789806854:-122.168829804682"
44,47.5688553372623,-122.013396620281,"47.5688553372623:-122.013396620281"
45,47.3255795606282,-121.979685348449,"47.3255795606282:-121.979685348449"
46,47.2799040070051,-122.248467988965,"47.2799040070051:-122.248467988965"
47,47.6457413148107,-122.217463298895,"47.6457413148107:-122.217463298895"
48,47.6410673923855,-122.229040715499,"47.6410673923855:-122.229040715499"
49,48.0213710130475,-122.047886238176,"48.0213710130475:-122.047886238176"
50,47.625048540032,-122.233370734337,"47.625048540032:-122.233370734337"
51,47.58540371995,-122.200589288606,"47.58540371995:-122.200589288606"
52,47.7089011674259,-121.358503808874,"47.7089011674259:-121.358503808874"
53,47.1400443683001,-122.361427889303,"47.1400443683001:-122.361427889303"
54,47.259465648082,-122.310036361476,"47.259465648082:-122.310036361476"
55,47.6486122588822,-121.908492105808,"47.6486122588822:-121.908492105808"
56,47.3792441662653,-122.083116283847,"47.3792441662653:-122.083116283847"
57,47.2623086791821,-122.301159946396,"47.2623086791821:-122.301159946396"
58,47.5437365511416,-122.107555429019,"47.5437365511416:-122.107555429019"
59,47.2385437188909,-122.459477431351,"47.2385437188909:-122.459477431351"
60,47.3006611646516,-122.22624377352,"47.3006611646516:-122.22624377352"
141,47.2493304693076,-122.315470101306,"47.2493304693076:-122.315470101306"
61,47.2654551588663,-122.27897515561,"47.2654551588663:-122.27897515561"
62,47.5046291460766,-122.248459183615,"47.5046291460766:-122.248459183615"
63,47.6227109916853,-122.64134038513,"47.6227109916853:-122.64134038513"
65,47.5747088466833,-122.64796077493,"47.5747088466833:-122.64796077493"
67,47.5204423738376,-122.61051228306,"47.5204423738376:-122.61051228306"
66,47.5762596895174,-122.650169826892,"47.5762596895174:-122.650169826892"
64,47.5206770591221,-122.650482475554,"47.5206770591221:-122.650482475554"
68,47.6252529720924,-122.629892792571,"47.6252529720924:-122.629892792571"
69,47.6449751454187,-122.535174455128,"47.6449751454187:-122.535174455128"
70,47.6594289707159,-122.68423821133,"47.6594289707159:-122.68423821133"
71,47.738153431521,-122.635483289992,"47.738153431521:-122.635483289992"
72,47.7478613214124,-122.651553098655,"47.7478613214124:-122.651553098655"
73,47.7961900700318,-122.503139061181,"47.7961900700318:-122.503139061181"
74,47.1693748782772,-122.594534229167,"47.1693748782772:-122.594534229167"
75,47.0833278941138,-122.48926490722,"47.0833278941138:-122.48926490722"
76,47.0993483342476,-122.651624632767,"47.0993483342476:-122.651624632767"
77,47.3283279812309,-122.590607226487,"47.3283279812309:-122.590607226487"
78,46.9966288112237,-122.542236303796,"46.9966288112237:-122.542236303796"
79,47.1643049371293,-122.53411186869,"47.1643049371293:-122.53411186869"
80,47.2181283087581,-122.542783175874,"47.2181283087581:-122.542783175874"
81,47.230232881142,-122.513660301294,"47.230232881142:-122.513660301294"
82,47.297646603583,-122.512092392957,"47.297646603583:-122.512092392957"
83,47.2325244661459,-122.350644860192,"47.2325244661459:-122.350644860192"
84,46.867748257015,-122.269982265055,"46.867748257015:-122.269982265055"
85,47.1798630173942,-122.289774928927,"47.1798630173942:-122.289774928927"
86,47.1014188055021,-122.212767654571,"47.1014188055021:-122.212767654571"
88,47.2054520067498,-122.232965026379,"47.2054520067498:-122.232965026379"
138,47.25115871656,-122.211468812969,"47.25115871656:-122.211468812969"
142,47.2507071657835,-122.25105604524,"47.2507071657835:-122.25105604524"
87,47.2306186838252,-122.283004422091,"47.2306186838252:-122.283004422091"
89,47.1786601712748,-122.172064859972,"47.1786601712748:-122.172064859972"
90,47.1383423606927,-122.096325336555,"47.1383423606927:-122.096325336555"
91,47.079769435263,-122.052628211115,"47.079769435263:-122.052628211115"
92,47.1619599545291,-122.025078200038,"47.1619599545291:-122.025078200038"
93,47.1066655181806,-122.046737804454,"47.1066655181806:-122.046737804454"
96,47.7921810512565,-122.273612975752,"47.7921810512565:-122.273612975752"
97,47.7960018665079,-122.264470793471,"47.7960018665079:-122.264470793471"
