city_id,households_2010,households_2020,households_2030,households_2040
19.0,8952.0,10265.0,11032.0,11958.0
20.0,33854.0,37897.0,41108.0,43689.0
21.0,15224.0,17931.0,18347.0,19437.0
22.0,12621.0,15741.0,16401.0,18121.0
23.0,19311.0,20808.0,23078.0,24635.0
24.0,91.0,149.0,263.0,266.0
25.0,7075.0,8424.0,9041.0,9083.0
26.0,7913.0,9575.0,10855.0,12323.0
27.0,2288.0,2877.0,3061.0,3063.0
28.0,9546.0,11535.0,12868.0,14139.0
30.0,4828.0,5603.0,6829.0,8177.0
31.0,944.0,1095.0,1132.0,1137.0
32.0,3180.0,3655.0,3950.0,3985.0
33.0,5145.0,5602.0,5920.0,5979.0
34.0,1083.0,1249.0,1392.0,1394.0
35.0,1544.0,2139.0,2903.0,2927.0
36.0,2.0,1.0,2.0,2.0
37.0,3744.0,4591.0,4579.0,4572.0
38.0,3236.0,4091.0,4112.0,4117.0
39.0,2291.0,2490.0,2473.0,2469.0
40.0,7.0,21.0,36.0,37.0
41.0,1069.0,1101.0,1114.0,1122.0
42.0,7607.0,9315.0,9687.0,10550.0
43.0,3945.0,4758.0,4914.0,4947.0
44.0,3887.0,4363.0,4553.0,4565.0
45.0,64.0,36.0,38.0,40.0
47.0,416.0,432.0,444.0,447.0
48.0,197.0,164.0,173.0,173.0
50.0,1126.0,1160.0,1193.0,1203.0
51.0,116.0,122.0,125.0,127.0
52.0,121.0,112.0,114.0,114.0
46.0,889.0,1459.0,1530.0,1528.0
54.0,363.0,382.0,389.0,395.0
55.0,694.0,833.0,985.0,995.0
57.0,350.0,368.0,379.0,379.0
58.0,8.0,10.0,19.0,21.0
60.0,187.0,138.0,136.0,135.0
61.0,295.0,345.0,396.0,398.0
62.0,24.0,17.0,28.0,34.0
63.0,38234.0,43466.0,45586.0,46085.0
64.0,4772.0,6994.0,8795.0,9390.0
65.0,15310.0,16741.0,19823.0,29368.0
66.0,4195.0,4661.0,5762.0,6152.0
67.0,5489.0,7025.0,8526.0,9140.0
68.0,8141.0,10207.0,11830.0,12501.0
69.0,9568.0,10832.0,12066.0,14612.0
70.0,7257.0,7865.0,9251.0,15001.0
71.0,3988.0,4616.0,4782.0,4890.0
72.0,238.0,606.0,1683.0,2076.0
73.0,867.0,1573.0,2359.0,2638.0
29.0,57428.0,64486.0,65252.0,66392.0
53.0,67417.0,85491.0,93594.0,93893.0
59.0,78892.0,95102.0,117175.0,141291.0
74.0,2591.0,2902.0,3170.0,3302.0
75.0,1389.0,4123.0,3764.0,3543.0
76.0,4355.0,4276.0,4936.0,5648.0
77.0,3419.0,4429.0,5295.0,6069.0
78.0,318.0,370.0,423.0,463.0
79.0,24178.0,28409.0,33718.0,41617.0
80.0,12748.0,14984.0,17887.0,23061.0
81.0,2700.0,3087.0,3288.0,3432.0
82.0,349.0,511.0,666.0,807.0
83.0,3734.0,4302.0,4812.0,6019.0
84.0,956.0,1224.0,1396.0,1546.0
85.0,15169.0,17940.0,21643.0,29432.0
86.0,2251.0,2752.0,3097.0,3443.0
87.0,3584.0,4424.0,5401.0,6119.0
88.0,3945.0,4797.0,5531.0,6119.0
89.0,6081.0,7447.0,8223.0,9002.0
90.0,184.0,207.0,247.0,290.0
91.0,262.0,240.0,268.0,291.0
92.0,1558.0,2061.0,2611.0,3078.0
93.0,154.0,200.0,223.0,243.0
138.0,2801.0,3757.0,3703.0,4603.0
141.0,2541.0,3011.0,3057.0,3106.0
142.0,51.0,35.0,43.0,45.0
