city_id,households_2010,households_2020,households_2030,households_2040
49.0,43742.0,49969.0,52608.0,57695.0
94.0,13996.0,16912.0,20425.0,24603.0
95.0,40735.0,50907.0,61703.0,73879.0
96.0,2276.0,2484.0,2593.0,2753.0
97.0,762.0,759.0,787.0,822.0
98.0,16315.0,19519.0,20639.0,21839.0
99.0,958.0,1020.0,1126.0,1258.0
100.0,7130.0,8706.0,8867.0,9150.0
101.0,8078.0,9479.0,10496.0,11484.0
102.0,9465.0,12311.0,14298.0,16430.0
103.0,12883.0,15834.0,17192.0,18660.0
104.0,1409.0,1474.0,1836.0,2215.0
105.0,7804.0,10878.0,11153.0,11644.0
106.0,21187.0,26451.0,30613.0,35023.0
107.0,3704.0,3612.0,3794.0,4026.0
108.0,4464.0,4986.0,5398.0,5873.0
109.0,14853.0,17874.0,18051.0,18542.0
110.0,4836.0,5808.0,6218.0,6688.0
111.0,6502.0,8031.0,9007.0,10019.0
112.0,3622.0,4347.0,4980.0,5718.0
113.0,9488.0,12157.0,13841.0,15639.0
114.0,1545.0,1969.0,2352.0,2846.0
115.0,450.0,496.0,494.0,502.0
116.0,551.0,650.0,720.0,815.0
117.0,330.0,346.0,348.0,355.0
118.0,1620.0,1585.0,1632.0,1696.0
119.0,34.0,11.0,13.0,15.0
120.0,8001.0,9021.0,9133.0,9334.0
121.0,64.0,64.0,65.0,65.0
122.0,1647.0,2093.0,2335.0,2586.0
123.0,2340.0,3096.0,3807.0,4610.0
124.0,213.0,230.0,311.0,402.0
125.0,600.0,617.0,809.0,1022.0
126.0,548.0,610.0,744.0,885.0
127.0,5049.0,5852.0,6127.0,6474.0
128.0,811.0,901.0,927.0,988.0
129.0,1187.0,1838.0,2765.0,3778.0
130.0,111.0,113.0,299.0,509.0
131.0,85.0,91.0,96.0,105.0
132.0,56.0,67.0,66.0,66.0
133.0,92.0,116.0,244.0,390.0
134.0,0.0,7.0,7.0,7.0
135.0,167.0,174.0,321.0,489.0
136.0,0.0,225.0,1030.0,1938.0
137.0,37.0,65.0,141.0,227.0
139.0,6388.0,7832.0,9060.0,10408.0
1.0,2617.0,2891.0,3000.0,3042.0
2.0,23596.0,27690.0,31164.0,34383.0
3.0,45354.0,49603.0,51937.0,55922.0
4.0,9904.0,12232.0,14401.0,16365.0
5.0,21511.0,24731.0,26511.0,28714.0
6.0,16555.0,18963.0,19916.0,19962.0
7.0,42912.0,48422.0,51442.0,54482.0
8.0,7480.0,9100.0,10833.0,12410.0
9.0,286525.0,335516.0,363492.0,396033.0
10.0,211.0,203.0,229.0,235.0
11.0,6800.0,7566.0,7718.0,7713.0
12.0,36866.0,44687.0,48742.0,53164.0
13.0,53222.0,62896.0,68908.0,75901.0
14.0,34538.0,39838.0,42482.0,45036.0
15.0,22364.0,28092.0,32649.0,37079.0
16.0,5803.0,6799.0,6970.0,7020.0
17.0,4884.0,5551.0,6153.0,6228.0
18.0,12088.0,13159.0,14574.0,16159.0
